cell,stimul,frame,time,mask,int,delta,rel
cell8_01_27,10,1,-1.8,cell,1406.931,0.02870370322979832,1406.931
cell8_01_27,10,1,-1.8,up,818.68,0.08744885730733798,0.581890654196972
cell8_01_27,10,1,-1.8,down,833.279,0.006976871213922811,0.5922671403217358
cell8_01_27,10,2,-1.6,cell,1352.847,-0.01084081678254093,1352.847
cell8_01_27,10,2,-1.6,up,763.562,0.014235872848128283,0.5644112009709893
cell8_01_27,10,2,-1.6,down,862.871,0.04273735428497391,0.6378186151131651
cell8_01_27,10,3,-1.4,cell,1327.125,-0.029647934298948523,1327.125
cell8_01_27,10,3,-1.4,up,756.539,0.004907254432056726,0.5700585852877461
cell8_01_27,10,3,-1.4,down,791.09,-0.04400646956346886,0.5960930583027221
cell8_01_27,10,4,-1.2,cell,1402.417,0.025403208382233346,1402.417
cell8_01_27,10,4,-1.2,up,758.297,0.00724239770066759,0.5407072218890673
cell8_01_27,10,4,-1.2,down,841.269,0.016632394995272456,0.5998707944926509
cell8_01_27,10,5,-1.0,cell,1393.847,0.019137093884308922,1393.847
cell8_01_27,10,5,-1.0,up,754.852,0.002666420135045083,0.5415601568895295
cell8_01_27,10,5,-1.0,down,873.811,0.055957808623893254,0.6269059660063121
cell8_01_27,10,6,-0.8,cell,1327.833,-0.029130266963530663,1327.833
cell8_01_27,10,6,-0.8,up,733.766,-0.025342016134538323,0.5526041301880582
cell8_01_27,10,6,-0.8,down,842.726,0.018393108155400913,0.6346626420641752
cell8_01_27,10,7,-0.6,cell,1246.056,-0.08892303770994485,1246.056
cell8_01_27,10,7,-0.6,up,605.156,-0.19617408426652733,0.4856571454252457
cell8_01_27,10,7,-0.6,down,844.488,0.02052239888165105,0.6777287698145188
cell8_01_27,10,8,-0.4,cell,1409.389,0.030500915532703506,1409.389
cell8_01_27,10,8,-0.4,up,707.094,-0.060770310366840594,0.5017025108043274
cell8_01_27,10,8,-0.4,down,893.512,0.07976550249327602,0.6339711747430979
cell8_01_27,10,9,-0.2,cell,1336.292,-0.022945312174972667,1336.292
cell8_01_27,10,9,-0.2,up,736.523,-0.021679905786665652,0.5511692055329225
cell8_01_27,10,9,-0.2,down,767.736,-0.07222863506905582,0.5745271243111536
cell8_01_27,10,10,0.0,cell,1474.0,0.0777424469008947,1474.0
cell8_01_27,10,10,0.0,up,893.977,0.18746551413133594,0.6064972862957937
cell8_01_27,10,10,0.0,down,724.274,-0.12475033401586655,0.4913663500678426
cell8_01_27,10,11,0.2,cell,1372.278,0.0033665193678873804,1372.278
cell8_01_27,10,11,0.2,up,803.391,0.06714054932452189,0.5854433285383865
cell8_01_27,10,11,0.2,down,757.07,-0.08511797382398381,0.5516885062647656
cell8_01_27,10,12,0.4,cell,1248.861,-0.08687210991920057,1248.861
cell8_01_27,10,12,0.4,up,858.867,0.1408290635278515,0.6877202506924308
cell8_01_27,10,12,0.4,down,684.134,-0.17325755861954292,0.5478063611562856
cell8_01_27,10,13,0.6,cell,1399.069,0.02295525606729159,1399.069
cell8_01_27,10,13,0.6,up,843.859,0.12089400654530831,0.6031575283277666
cell8_01_27,10,13,0.6,down,755.955,-0.0864653967296415,0.540327174714042
cell8_01_27,10,14,0.8,cell,1303.458,-0.046952500439249326,1303.458
cell8_01_27,10,14,0.8,up,788.352,0.047164315185364895,0.6048158053424045
cell8_01_27,10,14,0.8,down,692.458,-0.16319841219201428,0.5312468832904473
cell8_01_27,10,15,1.0,cell,1322.083,-0.03333448614241814,1322.083
cell8_01_27,10,15,1.0,up,754.945,0.002789951604886368,0.5710269324996994
cell8_01_27,10,15,1.0,down,768.866,-0.07086308539785119,0.5815565285991877
cell8_01_27,10,16,1.2,cell,1344.458,-0.016974589772399473,1344.458
cell8_01_27,10,16,1.2,up,770.344,0.023244372078912483,0.572977363368733
cell8_01_27,10,16,1.2,down,762.537,-0.07851137200763358,0.5671705624125112
cell8_01_27,10,17,1.4,cell,1381.958,0.010444230959475392,1381.958
cell8_01_27,10,17,1.4,up,825.828,0.09694351264523908,0.5975782187302363
cell8_01_27,10,17,1.4,down,761.527,-0.0797319075544625,0.5510493083002522
cell8_01_27,10,18,1.6,cell,1352.486,-0.011104768630119687,1352.486
cell8_01_27,10,18,1.6,up,821.922,0.09175519091190933,0.6077120206789571
cell8_01_27,10,18,1.6,down,752.537,-0.09059588237227643,0.5564101957432461
cell8_01_27,10,19,1.8,cell,1304.056,-0.04651526164464506,1304.056
cell8_01_27,10,19,1.8,up,751.016,-0.002428920922060212,0.5759077831013392
cell8_01_27,10,19,1.8,down,725.428,-0.12335578151978677,0.5562859263712601
cell8_01_27,10,20,2.0,cell,1226.347,-0.10333363871806547,1226.347
cell8_01_27,10,20,2.0,up,697.25,-0.07384605003476151,0.5685584911937649
cell8_01_27,10,20,2.0,down,680.005,-0.17824725294910398,0.5544964027310378
cell8_01_27,10,21,2.2,cell,1329.583,-0.02785072199604317,1329.583
cell8_01_27,10,21,2.2,up,796.922,0.05854780654599902,0.599377398778414
cell8_01_27,10,21,2.2,down,725.886,-0.12280231094508617,0.5459501212034148
cell8_01_27,10,22,2.4,cell,1311.583,-0.041011755947343104,1311.583
cell8_01_27,10,22,2.4,up,787.156,0.04557567391729971,0.6001572146025069
cell8_01_27,10,22,2.4,down,719.736,-0.1302342848193415,0.5487536816198441
cell8_01_27,10,23,2.6,cell,1409.111,0.030297650675011358,1409.111
cell8_01_27,10,23,2.6,up,819.18,0.08811300499465619,0.5813452595288802
cell8_01_27,10,23,2.6,down,787.119,-0.04880522862926854,0.5585926161956013
cell8_01_27,10,24,2.8,cell,1352.069,-0.011409665916658242,1352.069
cell8_01_27,10,24,2.8,up,801.82,0.06505379729096819,0.5930318644980397
cell8_01_27,10,24,2.8,down,743.005,-0.10211483765185404,0.5495318656074505
cell8_01_27,10,25,3.0,cell,1307.264,-0.044169672927102374,1307.264
cell8_01_27,10,25,3.0,up,736.672,-0.021481989775844826,0.5635219817879175
cell8_01_27,10,25,3.0,down,707.587,-0.14491575646134608,0.5412732240771566
cell8_01_27,10,26,3.2,cell,1315.153,-0.038401484213668666,1315.153
cell8_01_27,10,26,3.2,up,763.359,0.013966228887077124,0.5804336073445447
cell8_01_27,10,26,3.2,down,729.502,-0.11843255199723134,0.5546898345667766
cell8_01_27,10,27,3.4,cell,1393.028,0.018538266839524805,1393.028
cell8_01_27,10,27,3.4,up,792.25,0.05234201055569766,0.5687251081816015
cell8_01_27,10,27,3.4,down,731.761,-0.1157026611058585,0.5253024346962157
cell8_01_27,10,28,3.6,cell,1339.972,-0.020254611900484634,1339.972
cell8_01_27,10,28,3.6,up,811.484,0.07789044379145446,0.6055977289077683
cell8_01_27,10,28,3.6,down,738.915,-0.107057402390993,0.5514406271175816
cell8_01_27,10,29,3.8,cell,1325.764,-0.030643054699377444,1325.764
cell8_01_27,10,29,3.8,up,745.508,-0.00974517184555747,0.5623233094276207
cell8_01_27,10,29,3.8,down,731.687,-0.1157920864825568,0.5518983770867214
cell8_01_27,10,30,4.0,cell,1374.125,0.004716987685001309,1374.125
cell8_01_27,10,30,4.0,up,834.031,0.10783951960338153,0.6069542436095697
cell8_01_27,10,30,4.0,down,726.632,-0.12190080647188384,0.5287961430000909
cell8_01_27,10,31,4.2,cell,1242.611,-0.09144191337451305,1242.611
cell8_01_27,10,31,4.2,up,767.57,0.019559680709671075,0.6177073919352074
cell8_01_27,10,31,4.2,down,705.94,-0.1469060753184027,0.5681102130916272
cell8_01_27,10,32,4.4,cell,1226.778,-0.1030185050717871,1226.778
cell8_01_27,10,32,4.4,up,726.914,-0.03444349604154699,0.5925391554136119
cell8_01_27,10,32,4.4,down,719.93,-0.12999984531826747,0.5868461938508841
cell8_01_27,10,33,4.6,cell,1230.667,-0.10017499056975354,1230.667
cell8_01_27,10,33,4.6,up,726.141,-0.03547026836614097,0.5900385725789349
cell8_01_27,10,33,4.6,down,654.274,-0.2093419065683665,0.5316417844957247
cell8_01_27,10,34,4.8,cell,1290.847,-0.05617326705924071,1290.847
cell8_01_27,10,34,4.8,up,755.359,0.003339865889985826,0.5851653991526494
cell8_01_27,10,34,4.8,down,709.214,-0.14294960662501863,0.5494175529710338
cell8_01_27,10,35,5.0,cell,1328.833,-0.028399098410680668,1328.833
cell8_01_27,10,35,5.0,up,810.008,0.07592987981849113,0.6095634289636094
cell8_01_27,10,35,5.0,down,709.96,-0.1420481021518163,0.5342733059759954
cell8_01_27,10,36,5.2,cell,1219.097,-0.10863461072622795,1219.097
cell8_01_27,10,36,5.2,up,738.977,-0.018420268937307964,0.6061675157924267
cell8_01_27,10,36,5.2,down,638.652,-0.2282203286600115,0.5238729978008313
cell8_01_27,10,37,5.4,cell,1132.792,-0.17173811267994693,1132.792
cell8_01_27,10,37,5.4,up,680.0,-0.09675914524723962,0.6002867251887373
cell8_01_27,10,37,5.4,down,647.831,-0.21712795659630585,0.5718887492143306
cell8_01_27,10,38,5.6,cell,1287.833,-0.05837700907753052,1287.833
cell8_01_27,10,38,5.6,up,752.852,9.829385772258229e-06,0.5845882191246846
cell8_01_27,10,38,5.6,down,655.567,-0.20777937937821817,0.5090465922211963
cell8_01_27,10,39,5.8,cell,1169.972,-0.14455326588498402,1169.972
cell8_01_27,10,39,5.8,up,686.594,-0.08800036554688705,0.5868465228227685
cell8_01_27,10,39,5.8,down,669.547,-0.19088523388844744,0.5722760886585321
cell8_01_27,10,40,6.0,cell,1211.0,-0.11455488249865435,1211.0
cell8_01_27,10,40,6.0,up,699.656,-0.07065017136338636,0.5777506193228736
cell8_01_27,10,40,6.0,down,615.299,-0.25644128571456204,0.5080916597853014
cell8_01_27,10,41,6.2,cell,1163.361,-0.14938702118787525,1163.361
cell8_01_27,10,41,6.2,up,693.531,-0.07878598053303439,0.5961442750788447
cell8_01_27,10,41,6.2,down,626.224,-0.24323895814118962,0.5382886309580603
cell8_01_27,10,42,6.4,cell,1159.542,-0.15217935389120954,1159.542
cell8_01_27,10,42,6.4,up,756.93,0.005426617923539514,0.6527835990416906
cell8_01_27,10,42,6.4,down,633.841,-0.2340341865964412,0.5466304799653657
cell8_01_27,10,43,6.6,cell,1248.069,-0.08745119541305786,1248.069
cell8_01_27,10,43,6.6,up,757.531,0.006224923443695997,0.6069624355704692
cell8_01_27,10,43,6.6,down,655.995,-0.20726216233461145,0.5256079591753341
cell8_01_27,10,44,6.8,cell,1112.569,-0.18652453432423238,1112.569
cell8_01_27,10,44,6.8,up,688.898,-0.08493997300372479,0.6191957532521579
cell8_01_27,10,44,6.8,down,589.368,-0.2877776295411173,0.5297361332196027
cell8_01_27,10,45,7.0,cell,1200.125,-0.12250634051089807,1200.125
cell8_01_27,10,45,7.0,up,781.0,0.037398687591038024,0.6507655452557025
cell8_01_27,10,45,7.0,down,648.104,-0.21679804946335107,0.5400304134985939
cell8_01_27,10,46,7.2,cell,1130.792,-0.17320044978564691,1130.792
cell8_01_27,10,46,7.2,up,700.414,-0.06964332346941192,0.6194012691989331
cell8_01_27,10,46,7.2,down,628.98,-0.2399084670846941,0.5562296160567107
cell8_01_27,10,47,7.4,cell,1189.611,-0.13019384667556286,1189.611
cell8_01_27,10,47,7.4,up,699.008,-0.07151090676615064,0.5875937596407566
cell8_01_27,10,47,7.4,down,615.632,-0.25603887151941945,0.5175069833752377
cell8_01_27,10,48,7.6,cell,1186.653,-0.1323566432548932,1186.653
cell8_01_27,10,48,7.6,up,741.867,-0.01458149530460875,0.6251760202856268
cell8_01_27,10,48,7.6,down,614.766,-0.2570853901169975,0.5180672024593541
cell8_01_27,10,49,7.8,cell,1130.819,-0.17318070823471995,1130.819
cell8_01_27,10,49,7.8,up,756.414,0.004741217510227175,0.6689081099627792
cell8_01_27,10,49,7.8,down,640.239,-0.2263025168651427,0.5661728357942342
cell8_01_27,10,50,8.0,cell,1244.611,-0.08997957626881305,1244.611
cell8_01_27,10,50,8.0,up,740.047,-0.016998992886446934,0.5946010440209832
cell8_01_27,10,50,8.0,down,658.557,-0.20416611077918995,0.5291267713365863
cell8_01_27,10,51,8.2,cell,1186.194,-0.1326922496206514,1186.194
cell8_01_27,10,51,8.2,up,756.805,0.005260581001709962,0.6380111516328695
cell8_01_27,10,51,8.2,down,651.453,-0.21275094694223226,0.5491959999797672
cell8_01_27,10,52,8.4,cell,1181.986,-0.13576900689104407,1181.986
cell8_01_27,10,52,8.4,up,757.211,0.005799868923812429,0.6406260311035833
cell8_01_27,10,52,8.4,down,638.517,-0.22838346954993416,0.5402069060039628
cell8_01_27,10,53,8.6,cell,1152.417,-0.15738892983026576,1152.417
cell8_01_27,10,53,8.6,up,718.789,-0.04523589596046784,0.6237230099868364
cell8_01_27,10,53,8.6,down,582.602,-0.29595400925383475,0.5055479049684273
cell8_01_27,10,54,8.8,cell,1142.083,-0.1649448256554175,1142.083
cell8_01_27,10,54,8.8,up,719.555,-0.044218421703496394,0.6300373965815093
cell8_01_27,10,54,8.8,down,588.363,-0.28899212283276393,0.5151665859661688
cell8_01_27,10,55,9.0,cell,1202.125,-0.12104400340519807,1202.125
cell8_01_27,10,55,9.0,up,728.391,-0.03248160377320904,0.6059195175210564
cell8_01_27,10,55,9.0,down,659.418,-0.2031256344367942,0.5485436206717271
cell8_01_27,10,56,9.2,cell,1102.333,-0.19400877563120486,1102.333
cell8_01_27,10,56,9.2,up,700.898,-0.06900042850808784,0.6358314592777319
cell8_01_27,10,56,9.2,down,573.557,-0.3068844488786542,0.5203119202636589
cell8_01_27,10,57,9.4,cell,1206.514,-0.11783490462673951,1206.514
cell8_01_27,10,57,9.4,up,728.117,-0.03284555670585942,0.6034882313839707
cell8_01_27,10,57,9.4,down,661.806,-0.20023985336171746,0.5485274103740198
cell8_01_27,10,58,9.6,cell,1034.097,-0.24390079300347728,1034.097
cell8_01_27,10,58,9.6,up,663.531,-0.11863484177212676,0.6416525722441898
cell8_01_27,10,58,9.6,down,559.209,-0.3242233043498438,0.5407703532647323
cell8_01_27,10,59,9.8,cell,1070.056,-0.21760870301154422,1070.056
cell8_01_27,10,59,9.8,up,731.344,-0.028559147531907598,0.6834632953789335
cell8_01_27,10,59,9.8,down,554.945,-0.3293761395693274,0.5186130445509394
cell8_01_27,10,60,10.0,cell,1134.569,-0.17043882616153247,1134.569
cell8_01_27,10,60,10.0,up,706.789,-0.061175440456104783,0.6229581453397722
cell8_01_27,10,60,10.0,down,611.796,-0.26067448969529633,0.5392320784368337
cell8_01_27,10,61,10.2,cell,1049.736,-0.2324660480054561,1049.736
cell8_01_27,10,61,10.2,up,718.969,-0.0449968027930332,0.6849045855338866
cell8_01_27,10,61,10.2,down,582.279,-0.2963443389386127,0.5546908937104186
cell8_01_27,10,62,10.4,cell,1170.097,-0.14446186981587777,1170.097
cell8_01_27,10,62,10.4,up,757.023,0.005550149393380799,0.6469745670658074
cell8_01_27,10,62,10.4,down,634.881,-0.2327773975185184,0.5425883495129036
cell8_01_27,10,63,10.6,cell,1142.222,-0.16484319322657143,1142.222
cell8_01_27,10,63,10.6,up,741.227,-0.015431604344376034,0.6489342702206752
cell8_01_27,10,63,10.6,down,637.761,-0.22929705853350127,0.5583511786675445
cell8_01_27,10,64,10.8,cell,1161.056,-0.15107236470219454,1161.056
cell8_01_27,10,64,10.8,up,794.5,0.05533067514862959,0.6842908524653418
cell8_01_27,10,64,10.8,down,593.299,-0.28302720851677626,0.510999469448502
cell8_01_27,10,65,11.0,cell,1084.194,-0.20727144201135103,1084.194
cell8_01_27,10,65,11.0,up,716.18,-0.048701418592894286,0.660564437729779
cell8_01_27,10,65,11.0,down,632.841,-0.2352426376329055,0.5836971981029225
cell8_01_27,10,66,11.2,cell,1181.972,-0.13577924325078405,1181.972
cell8_01_27,10,66,11.2,up,810.844,0.07704033475168719,0.6860094824581293
cell8_01_27,10,66,11.2,down,638.856,-0.22797380464857284,0.5405001133698598
cell8_01_27,10,67,11.4,cell,1161.792,-0.15053422464729704,1161.792
cell8_01_27,10,67,11.4,up,719.617,-0.04413606739026892,0.6194026125158376
cell8_01_27,10,67,11.4,down,603.348,-0.2708834840513467,0.5193253181292349
cell8_01_27,10,68,11.6,cell,1180.153,-0.1371092388484182,1180.153
cell8_01_27,10,68,11.6,up,772.969,0.026731147437333066,0.6549735500396983
cell8_01_27,10,68,11.6,down,619.109,-0.25183708726563303,0.5246006238174203
cell8_01_27,10,69,11.8,cell,1122.653,-0.17915143063729297,1122.653
cell8_01_27,10,69,11.8,up,699.312,-0.0711071049722612,0.6229101957595089
cell8_01_27,10,69,11.8,down,572.348,-0.3083454661817395,0.5098173701045647
cell8_01_27,10,70,12.0,cell,1158.667,-0.1528191263749533,1158.667
cell8_01_27,10,70,12.0,up,764.57,0.015574794585761836,0.6598703510154342
cell8_01_27,10,70,12.0,down,623.194,-0.24690056478167652,0.5378542756460657
cell8_01_27,10,71,12.2,cell,1163.097,-0.14958004968582775,1163.097
cell8_01_27,10,71,12.2,up,727.891,-0.03314575146052725,0.6258214061251984
cell8_01_27,10,71,12.2,down,614.517,-0.257386294425077,0.5283454432433409
cell8_01_27,10,72,12.4,cell,1157.833,-0.15342892094803004,1157.833
cell8_01_27,10,72,12.4,up,761.719,0.011787824472673427,0.6578833044143672
cell8_01_27,10,72,12.4,down,626.328,-0.24311327923339743,0.5409484787529807
cell8_01_27,10,73,12.6,cell,1116.861,-0.1833863588954001,1116.861
cell8_01_27,10,73,12.6,up,757.953,0.006785464091792597,0.6786457759739125
cell8_01_27,10,73,12.6,down,646.045,-0.21928625014743114,0.5784470941325732
cell8_01_27,10,74,12.8,cell,1113.486,-0.18585405276126882,1113.486
cell8_01_27,10,74,12.8,up,777.547,0.03281208366241853,0.6982997541055747
cell8_01_27,10,74,12.8,down,601.368,-0.2732762171035459,0.5400768397626913
cell8_01_27,10,75,13.0,cell,1132.014,-0.17230696181406424,1132.014
cell8_01_27,10,75,13.0,up,768.188,0.020380567251196295,0.6786029148049406
