cell,stimul,frame,time,mask,int,delta,rel
cell8_02_22,20,1,-19.0,cell,498.688,0.006011806549784532,498.688
cell8_02_22,20,1,-19.0,up,487.802,0.006540837885067954,0.9781707199691992
cell8_02_22,20,1,-19.0,down,499.063,0.00734624013596448,1.000751973177618
cell8_02_22,20,2,-18.0,cell,495.67,-7.6456316310545e-05,495.67
cell8_02_22,20,2,-18.0,up,482.265,-0.0048843235930925615,0.9729557972037847
cell8_02_22,20,2,-18.0,down,496.38,0.0019306714356505201,1.0014324046240441
cell8_02_22,20,3,-17.0,cell,492.722,-0.006023506988692477,492.722
cell8_02_22,20,3,-17.0,up,473.455,-0.02306306165027037,0.9608968140249471
cell8_02_22,20,3,-17.0,down,493.213,-0.004461839214328686,1.0009965051286527
cell8_02_22,20,4,-16.0,cell,496.518,0.0016342285446730226,496.518
cell8_02_22,20,4,-16.0,up,484.833,0.00041454125717228996,0.9764661099899703
cell8_02_22,20,4,-16.0,down,497.663,0.004520374992304606,1.0023060593976454
cell8_02_22,20,5,-15.0,cell,495.748,8.08944138270512e-05,495.748
cell8_02_22,20,5,-15.0,up,475.265,-0.01932826983602612,0.9586826371462921
cell8_02_22,20,5,-15.0,down,497.071,0.0033254377315570143,1.0026686945786973
cell8_02_22,20,6,-14.0,cell,498.301,0.005231104850255434,498.301
cell8_02_22,20,6,-14.0,up,488.712,0.00841855089664925,0.9807566109640559
cell8_02_22,20,6,-14.0,down,497.356,0.0039007031358020048,0.9981035558828901
cell8_02_22,20,7,-13.0,cell,495.501,-0.0004173828982755279,495.501
cell8_02_22,20,7,-13.0,up,485.424,0.0016340230042541514,0.9796630077436776
cell8_02_22,20,7,-13.0,down,494.129,-0.0026129160203340594,0.9972310853055797
cell8_02_22,20,8,-12.0,cell,493.671,-0.004109073105351074,493.671
cell8_02_22,20,8,-12.0,up,489.257,0.009543115282706254,0.9910588225761692
cell8_02_22,20,8,-12.0,down,492.421,-0.006060471495599215,0.9974679493022681
cell8_02_22,20,9,-11.0,cell,497.124,0.0028567226788194654,497.124
cell8_02_22,20,9,-11.0,up,489.409,0.00985675525826707,0.9844807331772354
cell8_02_22,20,9,-11.0,down,497.345,0.0038784999096733146,1.0004445570923954
cell8_02_22,20,10,-10.0,cell,493.136,-0.005188337728731028,493.136
cell8_02_22,20,10,-10.0,up,489.899,0.010867831495272437,0.9934358878686609
cell8_02_22,20,10,-10.0,down,489.594,-0.011766700610689634,0.9928173972291618
cell8_02_22,20,11,-9.0,cell,492.185,-0.007106806246178545,492.185
cell8_02_22,20,11,-9.0,up,480.125,-0.009300044301646507,0.9754970183975538
cell8_02_22,20,11,-9.0,down,490.654,-0.009627117001918548,0.9968893810254275
cell8_02_22,20,12,-8.0,cell,498.328,0.00528557241068767,498.328
cell8_02_22,20,12,-8.0,up,490.346,0.011790180633928343,0.9839824372702317
cell8_02_22,20,12,-8.0,down,496.308,0.0017853412282622903,0.9959464449117851
cell8_02_22,20,13,-7.0,cell,498.607,0.0058484038684878245,498.607
cell8_02_22,20,13,-7.0,up,494.16,0.019660067915435328,0.9910811520897219
cell8_02_22,20,13,-7.0,down,495.909,0.0009799696623192114,0.9945889247443377
cell8_02_22,20,14,-6.0,cell,495.107,-0.0012122058171758492,495.107
cell8_02_22,20,14,-6.0,up,491.895,0.01498641959540031,0.993512513456687
cell8_02_22,20,14,-6.0,down,493.35,-0.004185308125270536,0.9964512721492526
cell8_02_22,20,15,-5.0,cell,497.853,0.0043273468104905255,497.853
cell8_02_22,20,15,-5.0,up,468.778,-0.032713681161441764,0.9415992270810862
cell8_02_22,20,15,-5.0,down,502.638,0.014562288627810322,1.0096112707968015
cell8_02_22,20,16,-4.0,cell,494.288,-0.002864388483621183,494.288
cell8_02_22,20,16,-4.0,up,465.416,-0.03965090219983362,0.9415887094163726
cell8_02_22,20,16,-4.0,down,502.268,0.013815452839843048,1.0161444340141779
cell8_02_22,20,17,-3.0,cell,494.22,-0.0030015660432283296,494.22
cell8_02_22,20,17,-3.0,up,460.743,-0.04929326802743769,0.9322629598154667
cell8_02_22,20,17,-3.0,down,500.127,0.009493897645146061,1.011952167051111
cell8_02_22,20,18,-2.0,cell,495.618,-0.00018135680306901892,495.618
cell8_02_22,20,18,-2.0,up,459.708,-0.05142890865049994,0.9275450044187258
cell8_02_22,20,18,-2.0,down,502.496,0.01427566516323911,1.0138776234922864
cell8_02_22,20,19,-1.0,cell,493.707,-0.004036449691441388,493.707
cell8_02_22,20,19,-1.0,up,490.121,0.011325910933262575,0.9927365826289681
cell8_02_22,20,19,-1.0,down,490.346,-0.010248807333523716,0.9931923185209042
cell8_02_22,20,20,0.0,cell,469.032,-0.05381374797537031,469.032
cell8_02_22,20,20,0.0,up,524.385,0.08202696437153051,1.1180154019341964
cell8_02_22,20,20,0.0,down,442.002,-0.10782996769430594,0.9423706698050454
cell8_02_22,20,21,1.0,cell,459.18,-0.07368835558198697,459.18
cell8_02_22,20,21,1.0,up,531.572,0.0968567703212396,1.1576549501284898
cell8_02_22,20,21,1.0,down,429.564,-0.13293576102062168,0.9355024173526721
cell8_02_22,20,22,2.0,cell,456.117,-0.07986739771546919,456.117
cell8_02_22,20,22,2.0,up,505.451,0.04295815320528715,1.1081608446955495
cell8_02_22,20,22,2.0,down,430.055,-0.13194468974523813,0.9428611518535814
cell8_02_22,20,23,3.0,cell,453.956,-0.08422681986710324,453.956
cell8_02_22,20,23,3.0,up,511.798,0.05605468560584415,1.1274176351893135
cell8_02_22,20,23,3.0,down,425.023,-0.1421016564615929,0.936264748125369
cell8_02_22,20,24,4.0,cell,456.078,-0.0799460730805381,456.078
cell8_02_22,20,24,4.0,up,511.331,0.05509106804935133,1.1211481369414882
cell8_02_22,20,24,4.0,down,428.378,-0.13532967249232222,0.9392647748849977
cell8_02_22,20,25,5.0,cell,457.299,-0.077482928958768,457.299
cell8_02_22,20,25,5.0,up,490.241,0.011573521440284302,1.0720360201968515
cell8_02_22,20,25,5.0,down,434.916,-0.12213288227143039,0.9510539056503513
cell8_02_22,20,26,6.0,cell,456.315,-0.07946796893896597,456.315
cell8_02_22,20,26,6.0,up,490.65,0.012417460585049974,1.0752440748167384
cell8_02_22,20,26,6.0,down,432.724,-0.1265573796963608,0.9483010639580114
cell8_02_22,20,27,7.0,cell,456.459,-0.07917747528332722,456.459
cell8_02_22,20,27,7.0,up,496.751,0.025006391446212493,1.088270797596279
cell8_02_22,20,27,7.0,down,431.699,-0.12862631667654034,0.9457563548971539
cell8_02_22,20,28,8.0,cell,458.301,-0.07546157727161512,458.301
cell8_02_22,20,28,8.0,up,486.883,0.004644554085459881,1.0623651268489487
cell8_02_22,20,28,8.0,down,436.943,-0.11804143323843137,0.9533974396739261
cell8_02_22,20,29,9.0,cell,458.75,-0.0745558019147971,458.75
cell8_02_22,20,29,9.0,up,501.074,0.03392655996166996,1.092259400544959
cell8_02_22,20,29,9.0,down,435.245,-0.12146880396267029,0.9487629427792915
cell8_02_22,20,30,10.0,cell,458.178,-0.07570970726913985,458.178
cell8_02_22,20,30,10.0,up,478.603,-0.012440570899038614,1.0445787445054107
cell8_02_22,20,30,10.0,down,437.575,-0.11676575697357917,0.9550327601936365
cell8_02_22,20,31,11.0,cell,459.29,-0.0734664507061518,459.29
cell8_02_22,20,31,11.0,up,489.825,0.010715138349275686,1.066483049924884
cell8_02_22,20,31,11.0,down,435.94,-0.12006596376635342,0.9491606610202704
cell8_02_22,20,32,12.0,cell,459.07,-0.07391026045782215,459.07
cell8_02_22,20,32,12.0,up,477.895,-0.013901472890466806,1.0410068181323109
cell8_02_22,20,32,12.0,down,436.826,-0.11827759482543716,0.9515455159343892
cell8_02_22,20,33,13.0,cell,458.91,-0.07423303118630957,458.91
cell8_02_22,20,33,13.0,up,495.595,0.02262107689523671,1.0799394216730949
