cell,stimul,frame,time,mask,int,delta,rel
cell3_01_27,20,1,-3.8,cell,2171.278,0.00815858500330658,2171.278
cell3_01_27,20,1,-3.8,up,1720.824,-0.00815957203443243,0.7925396932129374
cell3_01_27,20,1,-3.8,down,2276.162,0.004664649064629397,1.04830519168895
cell3_01_27,20,2,-3.6,cell,2165.515,0.005482733304273119,2165.515
cell3_01_27,20,2,-3.6,up,1683.084,-0.029911975389697424,0.7772211229199522
cell3_01_27,20,2,-3.6,down,2283.82,0.008044778371127482,1.0546313463541006
cell3_01_27,20,3,-3.4,cell,2143.938,-0.004535807752476002,2143.938
cell3_01_27,20,3,-3.4,up,1778.941,0.025337630556927785,0.8297539387799461
cell3_01_27,20,3,-3.4,down,2262.087,-0.0015478502810166845,1.0551084033213647
cell3_01_27,20,4,-3.2,cell,2160.007,0.002925282122896058,2160.007
cell3_01_27,20,4,-3.2,up,1762.714,0.01598478876450895,0.8160686516293697
cell3_01_27,20,4,-3.2,down,2277.911,0.005436632109427742,1.0545850082893249
cell3_01_27,20,5,-3.0,cell,2148.398,-0.0024649594828786564,2148.398
cell3_01_27,20,5,-3.0,up,1704.437,-0.017604633872872574,0.7933525352378842
cell3_01_27,20,5,-3.0,down,2258.006,-0.0033491440522126206,1.0510184798161233
cell3_01_27,20,6,-2.8,cell,2146.737,-0.003236187952789258,2146.737
cell3_01_27,20,6,-2.8,up,1769.311,0.019787136537023062,0.824186195141743
cell3_01_27,20,6,-2.8,down,2260.949,-0.0020501468533324807,1.0532026046972685
cell3_01_27,20,7,-2.6,cell,2153.147,-0.0002599239599375599,2153.147
cell3_01_27,20,7,-2.6,up,1740.597,0.003237096527932507,0.808396732782295
cell3_01_27,20,7,-2.6,down,2262.607,-0.0013183298789040101,1.0508372164092836
cell3_01_27,20,8,-2.4,cell,2143.88,-0.0045627380662958735,2143.88
cell3_01_27,20,8,-2.4,up,1713.168,-0.01257230123654988,0.7990969643823348
cell3_01_27,20,8,-2.4,down,2247.426,-0.008019001464428318,1.0482984122245647
cell3_01_27,20,9,-2.2,cell,2158.647,0.0022938126953954683,2158.647
cell3_01_27,20,9,-2.2,up,1736.983,0.0011540762384272501,0.8046628281511521
cell3_01_27,20,9,-2.2,down,2272.045,0.00284746541944122,1.0525319795223582
cell3_01_27,20,10,-2.0,cell,2145.521,-0.0038007959114955657,2145.521
cell3_01_27,20,10,-2.0,up,1739.748,0.0027477539087322283,0.8108743750352478
cell3_01_27,20,10,-2.0,down,2254.925,-0.004709052434730121,1.0509918103807887
cell3_01_27,20,11,-1.8,cell,2146.132,-0.0035170989848758993,2146.132
cell3_01_27,20,11,-1.8,up,1742.235,0.0041811992490751225,0.8118023495292926
cell3_01_27,20,11,-1.8,down,2248.917,-0.0073608958499090755,1.0478931398441476
cell3_01_27,20,12,-1.6,cell,2146.487,-0.003352266891668032,2146.487
cell3_01_27,20,12,-1.6,up,1742.269,0.004200796008854701,0.81168392820455
