ID,date,cell,rep,power,stimul,frame,time,mask,int,delta,rel
cell4_01_17_03,17_03,cell4_17_03,1,10,20,1,-19.0,cell,620.454,-0.00022929559844294504,620.454
cell4_01_17_03,17_03,cell4_17_03,1,10,20,1,-19.0,up,457.086,-0.01348167892388289,-0.013271381056670393
cell4_01_17_03,17_03,cell4_17_03,1,10,20,1,-19.0,down,620.701,0.004375913334165035,0.004601106312838715
cell4_01_17_03,17_03,cell4_17_03,1,10,20,2,-18.0,cell,626.269,0.009140724815794225,626.269
cell4_01_17_03,17_03,cell4_17_03,1,10,20,2,-18.0,up,472.921,0.02069464153712509,0.011432904303995673
cell4_01_17_03,17_03,cell4_17_03,1,10,20,2,-18.0,down,626.096,0.013105733412492285,0.003923938492507264
cell4_01_17_03,17_03,cell4_17_03,1,10,20,3,-17.0,cell,624.417,0.006156498193753495,624.417
cell4_01_17_03,17_03,cell4_17_03,1,10,20,3,-17.0,up,467.738,0.009508290482536878,0.0033150566765619348
cell4_01_17_03,17_03,cell4_17_03,1,10,20,3,-17.0,down,616.976,-0.0016516269423445683,-0.00776544387570168
cell4_01_17_03,17_03,cell4_17_03,1,10,20,4,-16.0,cell,620.859,0.0004233025559451595,620.859
cell4_01_17_03,17_03,cell4_17_03,1,10,20,4,-16.0,up,463.118,-0.0004629504729324768,-0.0009020364044825765
cell4_01_17_03,17_03,cell4_17_03,1,10,20,4,-16.0,down,617.183,-0.0013166736974486106,-0.001744366259534872
cell4_01_17_03,17_03,cell4_17_03,1,10,20,5,-15.0,cell,624.724,0.006651183708314275,624.724
cell4_01_17_03,17_03,cell4_17_03,1,10,20,5,-15.0,up,455.272,-0.017396793879125662,-0.02390487322807683
cell4_01_17_03,17_03,cell4_17_03,1,10,20,5,-15.0,down,624.339,0.01026267615992128,0.003582476877090102
cell4_01_17_03,17_03,cell4_17_03,1,10,20,6,-14.0,cell,616.128,-0.007200010699386842,616.128
cell4_01_17_03,17_03,cell4_17_03,1,10,20,6,-14.0,up,452.559,-0.023252200093884966,-0.0161845147199358
cell4_01_17_03,17_03,cell4_17_03,1,10,20,6,-14.0,down,618.774,0.001257773706558576,0.008513943267523359
cell4_01_17_03,17_03,cell4_17_03,1,10,20,7,-13.0,cell,614.741,-0.009434957958982262,614.741
