cell,stimul,frame,time,mask,int,delta
cell7_01,10,1,-1.8,cell,1090.012,-0.0018319387369651005
cell7_01,10,1,-1.8,up,1448.918,0.0035430051171813103
cell7_01,10,1,-1.8,down,1660.55,-0.006042933342655005
cell7_01,10,2,-1.6,cell,1102.066,0.009206396446927105
cell7_01,10,2,-1.6,up,1477.621,0.023423146626831034
cell7_01,10,2,-1.6,down,1680.92,0.006149957836659219
cell7_01,10,3,-1.4,cell,1091.963,-4.532915145209421e-05
cell7_01,10,3,-1.4,up,1457.213,0.009288250346688497
cell7_01,10,3,-1.4,down,1662.981,-0.0045878072524776275
cell7_01,10,4,-1.2,cell,1090.344,-0.0015279129130847812
cell7_01,10,4,-1.2,up,1445.784,0.001372348269770323
cell7_01,10,4,-1.2,down,1661.648,-0.005385702389543253
cell7_01,10,5,-1.0,cell,1092.133,0.00011034672222157962
cell7_01,10,5,-1.0,up,1405.66,-0.02641815439312834
cell7_01,10,5,-1.0,down,1686.63,0.009567798221238712
cell7_01,10,6,-0.8,cell,1093.168,0.001058138070763702
cell7_01,10,6,-0.8,up,1417.855,-0.01797170887488372
cell7_01,10,6,-0.8,down,1680.366,0.0058183495051255365
cell7_01,10,7,-0.6,cell,1094.1,0.0019116081546684343
cell7_01,10,7,-0.6,up,1421.468,-0.015469289222778885
cell7_01,10,7,-0.6,down,1687.368,0.010009543615953083
cell7_01,10,8,-0.4,cell,1090.812,-0.001099346390265814
cell7_01,10,8,-0.4,up,1441.904,-0.0013149997097942716
cell7_01,10,8,-0.4,down,1673.946,0.001975523713706894
cell7_01,10,9,-0.2,cell,1090.105,-0.0017467748766612353
cell7_01,10,9,-0.2,up,1444.628,0.0005716847995700504
cell7_01,10,9,-0.2,down,1669.82,-0.0004941802139244223
cell7_01,10,10,0.0,cell,1085.422,-0.00603518732615242
cell7_01,10,10,0.0,up,1476.975,0.022975717040542586
cell7_01,10,10,0.0,down,1642.227,-0.017010549694082184
cell7_01,10,11,0.2,cell,1038.611,-0.04890191275283016
cell7_01,10,11,0.2,up,1505.206,0.042528944053709064
cell7_01,10,11,0.2,down,1521.789,-0.0891012432559005
cell7_01,10,12,0.4,cell,1022.571,-0.06359038930415176
cell7_01,10,12,0.4,up,1643.177,0.13808979149919778
cell7_01,10,12,0.4,down,1433.716,-0.1418191865468056
cell7_01,10,13,0.6,cell,1011.335,-0.07387964881354381
cell7_01,10,13,0.6,up,1731.865,0.19951647129600664
cell7_01,10,13,0.6,down,1377.756,-0.1753152194576754
cell7_01,10,14,0.8,cell,1018.941,-0.06691452707729995
cell7_01,10,14,0.8,up,1770.433,0.22622926430524487
cell7_01,10,14,0.8,down,1373.06,-0.1781261088527692
cell7_01,10,15,1.0,cell,1011.084,-0.0741094996623208
cell7_01,10,15,1.0,up,1739.918,0.20509410358452024
cell7_01,10,15,1.0,down,1369.624,-0.18018279879347232
cell7_01,10,16,1.2,cell,1012.906,-0.07244102059271308
cell7_01,10,16,1.2,up,1749.989,0.21206943386859103
cell7_01,10,16,1.2,down,1379.773,-0.17410790175965504
cell7_01,10,17,1.4,cell,1012.506,-0.07280731676606272
cell7_01,10,17,1.4,up,1772.55,0.22769553123120825
cell7_01,10,17,1.4,down,1370.839,-0.17945553503388145
cell7_01,10,18,1.6,cell,1005.14,-0.07955266079829677
cell7_01,10,18,1.6,up,1742.426,0.20683118315481608
cell7_01,10,18,1.6,down,1363.66,-0.18375267621092095
cell7_01,10,19,1.8,cell,1014.744,-0.0707578896761713
cell7_01,10,19,1.8,up,1757.418,0.2172148741109066
cell7_01,10,19,1.8,down,1384.668,-0.17117789673644726
cell7_01,10,20,2.0,cell,1006.792,-0.07803985760236262
cell7_01,10,20,2.0,up,1744.397,0.20819632822381653
cell7_01,10,20,2.0,down,1373.211,-0.1780357246324414
cell7_01,10,21,2.2,cell,1012.953,-0.07239798079234447
cell7_01,10,21,2.2,up,1742.777,0.20707429118080256
cell7_01,10,21,2.2,down,1386.716,-0.16995202333756482
cell7_01,10,22,2.4,cell,1012.729,-0.07260310664942023
cell7_01,10,22,2.4,up,1721.106,0.1920646215763843
cell7_01,10,22,2.4,down,1389.328,-0.1683885558971932
cell7_01,10,23,2.6,cell,1010.408,-0.07472854019528168
cell7_01,10,23,2.6,up,1736.862,0.20297747074288397
cell7_01,10,23,2.6,down,1388.319,-0.1689925140317012
cell7_01,10,24,2.8,cell,1011.486,-0.07374137200810435
cell7_01,10,24,2.8,up,1743.298,0.2074351438347595
cell7_01,10,24,2.8,down,1392.53,-0.16647193156944828
cell7_01,10,25,3.0,cell,1011.962,-0.07330547956181825
cell7_01,10,25,3.0,up,1748.475,0.21102081406419385
cell7_01,10,25,3.0,down,1391.481,-0.1670998325437782
cell7_01,10,26,3.2,cell,1014.768,-0.07073591190577032
cell7_01,10,26,3.2,up,1717.887,0.18983509241498783
cell7_01,10,26,3.2,down,1402.583,-0.16045449735120348
cell7_01,10,27,3.4,cell,1015.051,-0.07047675736312542
cell7_01,10,27,3.4,up,1763.234,0.2212431256184188
cell7_01,10,27,3.4,down,1409.564,-0.15627587323128242
cell7_01,10,28,3.6,cell,1013.833,-0.07159212921097521
cell7_01,10,28,3.6,up,1729.947,0.19818803484631461
cell7_01,10,28,3.6,down,1405.281,-0.1588395528052149
cell7_01,10,29,3.8,cell,1012.221,-0.07306830278957432
cell7_01,10,29,3.8,up,1717.007,0.18922559081137533
cell7_01,10,29,3.8,down,1406.246,-0.15826193179451092
cell7_01,10,30,4.0,cell,1018.574,-0.06725060381634834
cell7_01,10,30,4.0,up,1750.23,0.21223635419412581
cell7_01,10,30,4.0,down,1417.17,-0.15172314223914382
cell7_01,10,31,4.2,cell,1017.714,-0.06803814058905003
cell7_01,10,31,4.2,up,1739.05,0.2044929133664115
cell7_01,10,31,4.2,down,1399.96,-0.16202454907252611
cell7_01,10,32,4.4,cell,1016.516,-0.06913519762823235
cell7_01,10,32,4.4,up,1720.684,0.1917723378528337
cell7_01,10,32,4.4,down,1415.237,-0.15288017997353823
cell7_01,10,33,4.6,cell,1015.21,-0.07033115463421893
cell7_01,10,33,4.6,up,1711.511,0.1854189762506313
cell7_01,10,33,4.6,down,1413.236,-0.1540779205356299
cell7_01,10,34,4.8,cell,1015.705,-0.06987786311969872
cell7_01,10,34,4.8,up,1716.89,0.18914455480271322
cell7_01,10,34,4.8,down,1419.918,-0.15007826914337785
cell7_01,10,35,5.0,cell,1015.835,-0.06975881686336008
cell7_01,10,35,5.0,up,1711.762,0.1855928227307526
cell7_01,10,35,5.0,down,1417.196,-0.15170757939325968
cell7_01,10,36,5.2,cell,1019.433,-0.0664639827840799
cell7_01,10,36,5.2,up,1700.184,0.1775737209504954
cell7_01,10,36,5.2,down,1423.571,-0.14789168929664073
cell7_01,10,37,5.4,cell,1021.076,-0.06495942125204612
cell7_01,10,37,5.4,up,1696.872,0.17527977855144453
cell7_01,10,37,5.4,down,1428.711,-0.14481503437952362
cell7_01,10,38,5.6,cell,1012.324,-0.07297398152493684
